,x coord,y coord,quality,luminescence,x mm,y mm,x%,y%
0,109,435,0.9375000000000006,0.017440012116147287,-39.5975884244373,-25.04083601286174,-0.6675813609447407,-0.6097853649789782
1,314,395,0.8958333333333338,0.4490404248784094,-10.29774919614148,-19.32379421221865,-0.17361121463612036,-0.4705660346333533
2,683,216,0.8750000000000004,0.0168396411023827,42.441961414791,6.2599678456591645,0.7155350487193965,0.15244046866331828
3,604,406,0.8750000000000004,0.015308669783594818,31.150803858520902,-20.895980707395502,0.5251758216053427,-0.5088513504784001
4,180,466,0.8541666666666671,0.007878316335228548,-29.44983922829582,-29.47154340836013,-0.4964990175890722,-0.7176803459968375
5,163,282,0.8541666666666671,0.03261403670474237,-31.879581993569133,-3.1731511254019296,-0.5374623955756408,-0.07727142640696286
6,719,310,0.8125000000000003,-0.008946888894299851,47.587299035369774,-7.17508038585209,0.8022810256321298,-0.17472495764890028
7,675,271,0.791666666666667,0.18607939770298773,41.298553054662385,-1.6009646302250804,0.6962581649610113,-0.038986110561916
8,588,490,0.791666666666667,-0.010997962454309666,28.863987138263667,-32.90176848874598,0.48662205408857234,-0.8012119442042124
9,205,173,0.791666666666667,0.21671993939376383,-25.87668810289389,12.405787781350483,-0.43625875584411855,0.30210124878486505
