,x coord,y coord,quality,x mm,y mm,x mm from corner,y mm from corner,x%,y%
0,388,475,0.75,0.42877813504823153,-31.157877813504825,58.886221864951764,72.22287781350482,0.007228831409394446,-0.7587453503836559
1,697,117,0.75,44.59292604501608,20.009646302250804,14.72207395498392,21.055353697749194,0.7517984665770223,0.4872676562096872
2,594,42,0.75,29.87154340836013,30.729099678456592,29.44345659163987,10.335900321543406,0.5036085881878131,0.7483039006077339
3,178,43,0.75,-29.585691318327974,30.586173633440517,88.90069131832797,10.478826366559481,-0.4987893672482167,0.7448234173490933
4,388,43,0.75,0.42877813504823153,30.586173633440517,58.886221864951764,10.478826366559481,0.007228831409394446,0.7448234173490933
5,697,45,0.75,44.59292604501608,30.300321543408362,14.72207395498392,10.764678456591636,0.7517984665770223,0.7378624508318121
6,179,114,0.75,-29.4427652733119,20.438424437299037,88.75776527331189,20.62657556270096,-0.4963797567784186,0.49770910598560913
7,388,114,0.75,0.42877813504823153,20.438424437299037,58.886221864951764,20.62657556270096,0.007228831409394446,0.49770910598560913
8,594,114,0.75,29.87154340836013,20.438424437299037,29.44345659163987,20.62657556270096,0.5036085881878131,0.49770910598560913
9,77,115,0.75,-44.02122186495177,20.29549839228296,103.33622186495177,20.76950160771704,-0.7421600246978297,0.49422862272696844
10,74,259,0.75,-44.45,-0.28585209003215434,103.765,41.35085209003215,-0.7493888561072242,-0.0069609665172812455
11,178,259,0.75,-29.585691318327974,-0.28585209003215434,88.90069131832797,41.35085209003215,-0.4987893672482167,-0.0069609665172812455
12,388,259,0.75,0.42877813504823153,-0.28585209003215434,58.886221864951764,41.35085209003215,0.007228831409394446,-0.0069609665172812455
13,596,259,0.75,30.157395498392283,-0.28585209003215434,29.157604501607715,41.35085209003215,0.5084278091274094,-0.0069609665172812455
14,699,259,0.75,44.87877813504823,-0.28585209003215434,14.436221864951769,41.35085209003215,0.7566176875166186,-0.0069609665172812455
15,178,404,0.75,-29.585691318327974,-21.010128617363346,88.90069131832797,62.07512861736335,-0.4987893672482167,-0.5116310390201716
16,388,403,0.75,0.42877813504823153,-20.867202572347267,58.886221864951764,61.932202572347265,0.007228831409394446,-0.5081505557615309
17,699,403,0.75,44.87877813504823,-20.867202572347267,14.436221864951769,61.932202572347265,0.7566176875166186,-0.5081505557615309
18,77,475,0.75,-44.02122186495177,-31.157877813504825,103.33622186495177,72.22287781350482,-0.7421600246978297,-0.7587453503836559
19,178,475,0.75,-29.585691318327974,-31.157877813504825,88.90069131832797,72.22287781350482,-0.4987893672482167,-0.7587453503836559
20,76,42,0.75,-44.164147909967845,30.729099678456592,103.47914790996785,10.335900321543406,-0.7445696351676279,0.7483039006077339
21,698,474,0.5,44.735852090032154,-31.014951768488746,14.579147909967844,72.07995176848874,0.7542080770468205,-0.7552648671250152
22,594,474,0.5,29.87154340836013,-31.014951768488746,29.44345659163987,72.07995176848874,0.5036085881878131,-0.7552648671250152
23,76,402,0.5,-44.164147909967845,-20.72427652733119,103.47914790996785,61.78927652733119,-0.7445696351676279,-0.5046700725028904
24,594,402,0.5,29.87154340836013,-20.72427652733119,29.44345659163987,61.78927652733119,0.5036085881878131,-0.5046700725028904
