,x coord,y coord,quality,x mm,y mm
0,332,1020,0.53125,13.62051282051282,41.84615384615385
1,374,852,0.53125,15.343589743589744,34.95384615384615
2,653,741,0.53125,26.78974358974359,30.4
3,473,423,0.515625,19.405128205128204,17.353846153846153
4,411,773,0.5555555555555555,16.861538461538462,31.712820512820514
5,440,639,0.5,18.05128205128205,26.215384615384615
6,736,737,0.484375,30.194871794871794,30.235897435897435
7,694,27,0.6249999999999998,28.47179487179487,1.1076923076923078
8,204,979,0.46875,8.36923076923077,40.16410256410256
9,624,72,0.46875,25.6,2.953846153846154
10,87,-105,0.46875,3.5692307692307694,-4.3076923076923075
11,664,868,0.5999999999999999,27.24102564102564,35.61025641025641
12,396,983,0.453125,16.246153846153845,40.32820512820513
13,332,922,0.575,13.62051282051282,37.825641025641026
14,815,129,0.6136363636363633,33.43589743589744,5.292307692307692
15,616,890,0.4375,25.27179487179487,36.51282051282051
16,707,454,0.4375,29.005128205128205,18.625641025641027
17,803,442,0.602272727272727,32.94358974358974,18.133333333333333
18,1003,392,0.513888888888889,41.14871794871795,16.08205128205128
19,895,563,0.513888888888889,36.717948717948715,23.097435897435897
20,610,1020,0.513888888888889,25.025641025641026,41.84615384615385
21,51,-22,0.421875,2.0923076923076924,-0.9025641025641026
22,6,429,0.421875,0.24615384615384617,17.6
23,1043,441,0.421875,42.78974358974359,18.092307692307692
24,506,822,0.421875,20.75897435897436,33.723076923076924
25,232,933,0.421875,9.517948717948718,38.276923076923076
26,980,467,0.421875,40.205128205128204,19.15897435897436
27,213,227,0.4583333333333335,8.738461538461538,9.312820512820513
28,463,740,0.5000000000000001,18.994871794871795,30.358974358974358
29,815,651,0.40625,33.43589743589744,26.70769230769231
30,512,15,0.40625,21.005128205128205,0.6153846153846154
31,249,-89,0.40625,10.215384615384615,-3.651282051282051
32,401,939,0.5681818181818179,16.45128205128205,38.52307692307692
33,781,781,0.48611111111111127,32.04102564102564,32.04102564102564
34,570,103,0.48611111111111127,23.384615384615383,4.225641025641026
35,715,676,0.48611111111111127,29.333333333333332,27.733333333333334
36,688,1071,0.48611111111111127,28.225641025641025,43.93846153846154
37,439,508,0.4444444444444446,18.01025641025641,20.84102564102564
38,637,459,0.5250000000000001,26.133333333333333,18.83076923076923
39,906,1008,0.5250000000000001,37.16923076923077,41.353846153846156
40,666,414,0.602272727272727,27.323076923076922,16.984615384615385
41,-115,-103,0.4305555555555557,-4.717948717948718,-4.225641025641026
42,506,203,0.4305555555555557,20.75897435897436,8.328205128205129
43,51,-150,0.390625,2.0923076923076924,-6.153846153846154
44,735,410,0.390625,30.153846153846153,16.82051282051282
45,450,334,0.390625,18.46153846153846,13.702564102564102
46,817,16,0.390625,33.51794871794872,0.6564102564102564
47,1104,491,0.390625,45.292307692307695,20.143589743589743
48,740,590,0.390625,30.358974358974358,24.205128205128204
49,955,-12,0.390625,39.17948717948718,-0.49230769230769234
50,694,822,0.390625,28.47179487179487,33.723076923076924
51,105,-74,0.390625,4.3076923076923075,-3.0358974358974358
52,426,-113,0.390625,17.476923076923075,-4.635897435897436
53,293,602,0.6249999999999999,12.02051282051282,24.6974358974359
54,392,819,0.5454545454545452,16.08205128205128,33.6
55,230,614,0.5000000000000002,9.435897435897436,25.18974358974359
56,302,-91,0.4583333333333335,12.38974358974359,-3.7333333333333334
57,904,497,0.4166666666666668,37.08717948717949,20.38974358974359
58,663,50,0.5681818181818179,27.2,2.051282051282051
59,464,705,0.48750000000000027,19.035897435897436,28.923076923076923
60,440,856,0.48750000000000027,18.05128205128205,35.11794871794872
61,288,915,0.48750000000000027,11.815384615384616,37.53846153846154
62,250,247,0.375,10.256410256410257,10.133333333333333
63,456,253,0.375,18.70769230769231,10.37948717948718
64,226,402,0.375,9.271794871794873,16.49230769230769
65,1102,441,0.375,45.21025641025641,18.092307692307692
66,494,101,0.375,20.266666666666666,4.143589743589744
67,233,12,0.375,9.558974358974359,0.49230769230769234
68,90,-32,0.375,3.6923076923076925,-1.3128205128205128
69,810,979,0.375,33.23076923076923,40.16410256410256
70,-40,983,0.375,-1.641025641025641,40.32820512820513
71,865,9,0.375,35.48717948717949,0.36923076923076925
72,709,878,0.375,29.087179487179487,36.02051282051282
73,370,921,0.375,15.179487179487179,37.784615384615385
74,656,686,0.375,26.912820512820513,28.143589743589743
75,189,718,0.375,7.753846153846154,29.456410256410255
76,859,724,0.375,35.241025641025644,29.702564102564104
77,477,552,0.375,19.56923076923077,22.646153846153847
78,369,678,0.375,15.138461538461538,27.815384615384616
79,822,945,0.375,33.723076923076924,38.76923076923077
80,955,953,0.375,39.17948717948718,39.0974358974359
81,4,959,0.375,0.1641025641025641,39.343589743589746
82,725,24,0.5227272727272725,29.743589743589745,0.9846153846153847
83,814,389,0.4444444444444446,33.3948717948718,15.95897435897436
84,-101,-61,0.4444444444444446,-4.143589743589744,-2.5025641025641026
85,793,483,0.4027777777777779,32.53333333333333,19.815384615384616
86,1011,218,0.4027777777777779,41.47692307692308,8.943589743589744
87,738,797,0.4027777777777779,30.276923076923076,32.697435897435895
88,251,751,0.4027777777777779,10.297435897435898,30.81025641025641
89,573,137,0.5113636363636361,23.50769230769231,5.62051282051282
90,979,772,0.5454545454545452,40.16410256410256,31.671794871794873
91,619,23,0.359375,25.394871794871793,0.9435897435897436
92,494,143,0.359375,20.266666666666666,5.866666666666666
93,376,1117,0.359375,15.425641025641026,45.825641025641026
94,55,407,0.359375,2.2564102564102564,16.6974358974359
95,892,425,0.359375,36.59487179487179,17.435897435897434
96,409,473,0.359375,16.77948717948718,19.405128205128204
97,532,144,0.359375,21.825641025641026,5.907692307692308
98,376,179,0.359375,15.425641025641026,7.343589743589743
99,398,641,0.359375,16.328205128205127,26.297435897435896
