x coord,y coord,quality,x mm,y mm,x%,y%,image_name,plate
231.0,123.0,1.0,-22.063484775253745,19.520589656839054,-0.3719714199655019,0.4753583259914539,2023-03-22_09-00-46_8bit.png,1
551.0,376.0,0.9375,23.76864024488481,-16.715434187207993,0.40071887793787087,-0.4070481964497259,2023-03-22_09-00-46_8bit.png,1
374.0,325.0,0.90625,-1.5822539068793298,-9.41093926212341,-0.026675443089932225,-0.2291717828351007,2023-03-22_09-00-46_8bit.png,1
346.0,321.0,0.90625,-5.592564846141454,-8.838037699371677,-0.09428584415647735,-0.21522069157120852,2023-03-22_09-00-46_8bit.png,1
115.0,476.0,0.90625,-38.67763009505397,-31.03797325600129,-0.6520716529554745,-0.7558254780470302,2023-03-22_09-00-46_8bit.png,1
374.0,115.0,0.8750000000000004,-1.5822539068793298,20.666392782342516,-0.026675443089932225,0.5032605085192382,2023-03-22_09-00-46_8bit.png,1
524.0,500.0,0.875,19.90155469631062,-34.47538263251168,0.3355231340522738,-0.8395320256303831,2023-03-22_09-00-46_8bit.png,1
443.0,299.0,0.875,8.300298050588045,-5.687079104237151,0.1399359023954825,-0.13848968961980157,2023-03-22_09-00-46_8bit.png,1
393.0,342.0,0.875,1.139028516191397,-11.84577090381827,0.019203043348080536,-0.2884639207066424,2023-03-22_09-00-46_8bit.png,1
330.0,207.0,0.875,-7.884171097148382,7.489656839052683,-0.132920359051646,0.18238540944971834,2023-03-22_09-00-46_8bit.png,1
321.0,187.0,0.875,-9.17319961333978,10.354164652811344,-0.15465227368017836,0.2521408657691792,2023-03-22_09-00-46_8bit.png,1
247.0,391.0,0.875,-19.77187852424682,-18.863815047526987,-0.3333369050703333,-0.4593647886893215,2023-03-22_09-00-46_8bit.png,1
238.0,504.0,0.875,-21.060907040438213,-35.04828419526341,-0.3550688196988656,-0.8534831168942753,2023-03-22_09-00-46_8bit.png,1
83.0,255.0,0.875,-43.26084259706783,0.6148380860318995,-0.7293406827458119,0.014972314283012286,2023-03-22_09-00-46_8bit.png,1
29.0,86.0,0.875,-50.99501369421621,24.819929112292574,-0.859732170517006,0.6044059201824564,2023-03-22_09-00-46_8bit.png,1
505.0,64.0,0.84375,17.180272273239893,27.9708877074271,0.28964464761426106,0.6811369221338635,2023-03-22_09-00-46_8bit.png,1
380.0,275.0,0.84375,-0.722901562751732,-2.2496697277267605,-0.012187500004243986,-0.05478314203644857,2023-03-22_09-00-46_8bit.png,1
280.0,170.0,0.84375,-15.04544063154503,12.788996294506203,-0.253653218099048,0.3114330036407209,2023-03-22_09-00-46_8bit.png,1
276.0,214.0,0.84375,-15.618342194296764,6.487079104237152,-0.26331184682284015,0.15797099973790704,2023-03-22_09-00-46_8bit.png,1
275.0,491.0,0.84375,-15.761567584984697,-33.18635411632029,-0.2657265040037882,-0.8081420702866259,2023-03-22_09-00-46_8bit.png,1
240.0,238.0,0.84375,-20.774456259062347,3.0496697277267604,-0.3502395053369695,0.07426445215455402,2023-03-22_09-00-46_8bit.png,1
615.0,327.0,0.8250000000000004,32.93506524891252,-9.697390043499276,0.5552569375185454,-0.23614732846704678,2023-03-22_09-00-46_8bit.png,1
681.0,504.0,0.8125,42.3879410343161,-35.04828419526341,0.714624311461116,-0.8534831168942753,2023-03-22_09-00-46_8bit.png,1
589.0,500.0,0.8125,29.211205091026265,-34.47538263251168,0.49247585081389644,-0.8395320256303831,2023-03-22_09-00-46_8bit.png,1
484.0,249.0,0.8125,14.172539068793299,1.4741904301594975,0.23893684681435218,0.035898951178850544,2023-03-22_09-00-46_8bit.png,1
424.0,269.0,0.8125,5.579015627517319,-1.3903173835991622,0.09405741595746976,-0.03385650514061031,2023-03-22_09-00-46_8bit.png,1
419.0,29.0,0.8125,4.862888674077654,32.983776381504754,0.08198413005272956,0.8032089706929199,2023-03-22_09-00-46_8bit.png,1
393.0,301.0,0.8125,1.139028516191397,-5.973529885613018,0.019203043348080536,-0.14546523525174768,2023-03-22_09-00-46_8bit.png,1
